,Control_1,Hot_1,Control_2,Hot_2,pval.heat,padj.heat
isogroup100022,4.42749266823093,5.26508270508356,4.33920728133815,4.43763781187298,0.112411423483852,0.468338318815967
isogroup100108,4.25173084277364,3.9535995073911,3.99177269166277,3.99340839905557,0.515046134294041,0.88085522280303
isogroup100124,4.42334357790972,5.41258642111993,4.63752472438088,4.68957013467623,0.0932527559183975,0.418786416254618
isogroup100150,4.81059360610572,5.78839312553214,5.37636932983473,4.92576147292274,0.460496719316504,0.851233665058933
isogroup100175,5.48006748116527,6.32096348774453,5.85490436535117,5.59882972496746,0.370987354617194,0.801917989831842
isogroup100212,3.73622482186266,4.01332850878014,3.68040072092784,3.85236005850891,0.304106252105475,0.74702759229903
isogroup100260,3.93890235309136,3.09794157871195,6.34938809436326,2.97915944303188,8.07685027722345e-07,1.09863823160318e-05
isogroup100363,4.23119917514521,4.99923627528083,4.5785176442332,4.51178173887629,0.260061412930005,0.70353994971514
isogroup100486,3.19099786081234,2.66826677339155,5.15415949091958,2.66350361379591,0.00681336214851987,0.0558553398212325
isogroup100532,4.73523480813808,4.62024653120175,4.38437680342251,4.61555791214799,0.870487255866349,0.976887148334152
isogroup100628,4.01839195473181,4.85639442438524,4.21139848345328,4.07553165515062,0.216217086216739,0.652490368546433
isogroup100677,4.24789731790782,4.57839064721093,4.26792889949253,4.57121817652311,0.180629895730802,0.60054088298963
isogroup100959,4.0952757426506,4.20896496913962,3.87300394788457,4.39895793137279,0.206181604692115,0.639772244486016
isogroup101118,4.01494014606453,3.97661357012197,4.26342583606392,4.17078030482565,0.777971297720842,0.960621605306496
isogroup101170,4.70113040312925,4.8315075592683,4.07895264753401,4.52793720838457,0.487742169737337,0.864464145827202
isogroup101213,4.10400523264267,4.99181535327833,4.25080347854914,4.29574406279334,0.103931628061635,0.446667575658005
isogroup101218,3.74593059369744,4.49304396779481,3.81257689044075,3.97144912256267,0.0723432987565776,0.357616678650956
isogroup101638,3.37792854945489,4.09648403372622,3.51777663807763,3.51038524531193,0.14667205303776,0.540096291281615
isogroup101699,3.47884858336869,3.73074849167111,3.38553141365613,3.68902096032243,0.166144522397817,0.578226429438548
isogroup101742,4.33411430338765,3.66993859630244,3.77256126356657,3.28342881964728,0.105582051079701,0.452934086416851
isogroup101805,4.05004404613526,3.6941584148525,4.28736073684582,3.77978867022734,0.0562347988577947,0.304662140640684
isogroup101808,4.21924366591085,3.08014640055567,3.89536459695869,3.05206748622144,3.3560816274689e-05,0.000395485072983934
isogroup101990,6.83907775439437,3.30072092587603,7.12909000735231,3.15134437155098,7.17410046500741e-16,1.86255464986004e-14
isogroup101993,4.47114042481165,5.34899624902792,4.77819003629395,4.47412296839147,0.341459104959284,0.778879501701486
isogroup102033,4.38316488104547,4.96234190553016,4.64165358010401,4.49004551315145,0.451224380112938,0.8465784830479
isogroup102243,4.87480684280658,6.00060645913623,4.85408875441939,4.92339330774898,0.0701707945293917,0.350884415633795
isogroup102465,4.28352072461,4.26650043588265,3.77508679819493,3.78187426401905,0.981497039371906,0.996761548566541
isogroup102599,6.4188390401477,6.16231115105139,5.95266970163081,5.9304818769029,0.616565076761412,0.920448694599895
isogroup102637,5.39580433152461,6.63917198908069,5.84975602953222,5.52244880209242,0.203017306835031,0.63537548886442
isogroup102730,5.075192776059,6.32150315572894,5.7820317665386,5.31294570213441,0.34016921719383,0.777741002322924
isogroup102743,5.0705536260361,6.26327423651602,5.45001654723625,5.24077177842608,0.162169815607268,0.569684973386195
isogroup102783,6.83552405933082,3.26023422444514,5.72379404665734,3.1256273470446,1.15747736869429e-11,2.25824519530108e-10
isogroup102812,3.86706397980206,4.65892188203315,3.86623485424849,3.94590294280045,0.0994191227242489,0.435563023447241
isogroup102930,5.10058716219565,6.24421147720738,5.17757601519716,4.99931963271594,0.140505995724441,0.528130835730311
isogroup102932,5.12642926129127,6.15951202749267,5.30643987335061,5.07686479347592,0.207076050861762,0.640979304263426
isogroup102996,8.62454660492148,3.39071815899705,8.14768622494354,3.15454477563941,8.54647419652879e-33,7.11601886888756e-31
isogroup103006,4.26842167725853,5.17871120689786,4.54398608954346,4.59051417019958,0.119176516428281,0.483688835508775
isogroup103090,3.56835129801403,4.51465665269326,4.07012713046932,3.78357758455115,0.386593849607929,0.8095244766463
isogroup103116,3.66668350661407,3.49929669559673,4.01410515946294,3.76946093853436,0.42092207117851,0.829326420604309
isogroup103201,4.76683968566726,5.72133327434092,4.79212088773396,4.63126586229717,0.192238029512767,0.618074273371586
isogroup103219,4.36351644109502,4.28967648043322,4.30946681958071,4.27193173309252,0.812594707642048,0.968616570210501
isogroup103236,3.00105399094869,3.30497609422522,3.11652866954547,2.90676312491012,0.777286586690603,0.960617100283423
isogroup103244,3.76219140623448,4.31398628012812,3.9487546783584,3.72079936313858,0.503726268544769,0.875810088929451
isogroup103378,0.563968439025842,0.48407100235568,0.604668116669572,0.483967713156741,0.155472430339521,0.558243091920849
isogroup103431,7.65370612718442,4.05168045892732,7.31337100433611,3.35733809530569,1.74902962719217e-15,4.4292630466805e-14
isogroup103627,4.71249877980143,6.14435115860882,5.36730372054272,5.42017255782239,0.0781146693876389,0.375351329129371
isogroup103668,3.22057538892264,3.35340897539395,3.0159199152286,3.20688965389866,0.446059893150135,0.842546218890139
isogroup103715,5.07316176017837,5.90831619137834,5.44654353128388,5.1499009949931,0.400423507732382,0.817208223892582
isogroup103735,4.51897483627092,5.54885626857532,4.6292055664882,4.7038303673147,0.0752192909786237,0.366476217518935
